ip_address,rtt,salto_intercontinental,type,hop_num
192.168.0.1,6.39,false,11,1
192.168.0.1,10.717,false,11,1
192.168.0.1,10.704,false,11,1
192.168.0.1,11.293,false,11,1
192.168.0.1,12.113,false,11,1
192.168.0.1,11.613,false,11,1
null,null,null,null,1
192.168.0.1,11.048,false,11,1
null,null,null,null,1
192.168.0.1,12.478,false,11,1
null,null,null,null,1
192.168.0.1,11.843,false,11,1
null,null,null,null,1
192.168.0.1,12.778,false,11,1
null,null,null,null,1
192.168.0.1,13.452,false,11,1
null,null,null,null,1
192.168.0.1,6.161,false,11,1
192.168.0.1,6.655,false,11,1
null,null,null,null,1
192.168.0.1,12.375,false,11,1
null,null,null,null,1
192.168.0.1,12.38,false,11,1
null,null,null,null,1
192.168.0.1,12.533,false,11,1
null,null,null,null,1
192.168.0.1,13.21,false,11,1
null,null,null,null,1
192.168.0.1,13.088,false,11,1
null,null,null,null,1
192.168.2.1,11.015,false,11,2
192.168.2.1,11.625,false,11,2
192.168.2.1,10.251,false,11,2
192.168.2.1,10.823,false,11,2
192.168.2.1,10.066,false,11,2
192.168.2.1,12.984,false,11,2
null,null,null,null,2
192.168.2.1,12.145,false,11,2
null,null,null,null,2
192.168.2.1,12.456,false,11,2
null,null,null,null,2
192.168.2.1,12.569,false,11,2
null,null,null,null,2
192.168.2.1,7.325,false,11,2
null,null,null,null,2
192.168.2.1,12.267,false,11,2
null,null,null,null,2
192.168.2.1,8.449,false,11,2
192.168.2.1,7.035,false,11,2
null,null,null,null,2
192.168.2.1,12.352,false,11,2
null,null,null,null,2
192.168.2.1,12.272,false,11,2
null,null,null,null,2
192.168.2.1,8.801,false,11,2
null,null,null,null,2
192.168.2.1,12.546,false,11,2
null,null,null,null,2
192.168.2.1,12.057,false,11,2
null,null,null,null,2
172.16.128.1,11.79,false,11,3
172.16.128.1,10.987,false,11,3
172.16.128.1,12.548,false,11,3
172.16.128.1,12.328,false,11,3
172.16.128.1,12.855,false,11,3
172.16.128.1,10.557,false,11,3
172.16.128.1,10.734,false,11,3
172.16.128.1,9.999,false,11,3
172.16.128.1,12.504,false,11,3
172.16.128.1,10.198,false,11,3
172.16.128.1,8.302,false,11,3
172.16.128.1,8.722,false,11,3
172.16.128.1,9.792,false,11,3
172.16.128.1,11.214,false,11,3
172.16.128.1,11.266,false,11,3
172.16.128.1,11.617,false,11,3
172.16.128.1,10.946,false,11,3
172.16.128.1,10.696,false,11,3
172.16.128.1,9.477,false,11,3
172.16.128.1,11.499,false,11,3
172.16.128.1,9.914,false,11,3
172.16.128.1,13.766,false,11,3
172.16.128.1,10.84,false,11,3
172.16.128.1,11.173,false,11,3
172.16.128.1,9.773,false,11,3
172.16.128.1,10.51,false,11,3
172.16.128.1,11.355,false,11,3
172.16.128.1,11.473,false,11,3
172.16.128.1,11.931,false,11,3
172.16.128.1,10.899,false,11,3
10.0.13.1,10.672,false,11,4
10.0.13.1,11.55,false,11,4
10.0.13.1,11.94,false,11,4
10.0.13.1,12.077,false,11,4
10.0.13.1,12.6,false,11,4
10.0.13.1,11.781,false,11,4
10.0.13.1,10.724,false,11,4
10.0.13.1,11.927,false,11,4
10.0.13.1,11.667,false,11,4
10.0.13.1,12.458,false,11,4
10.0.13.1,12.19,false,11,4
10.0.13.1,11.08,false,11,4
10.0.13.1,12.862,false,11,4
10.0.13.1,9.773,false,11,4
10.0.13.1,9.202,false,11,4
10.0.13.1,10.606,false,11,4
10.0.13.1,8.206,false,11,4
10.0.13.1,12.119,false,11,4
10.0.13.1,12.204,false,11,4
10.0.13.1,10.614,false,11,4
10.0.13.1,8.884,false,11,4
10.0.13.1,11.522,false,11,4
10.0.13.1,9.714,false,11,4
10.0.13.1,12.049,false,11,4
10.0.13.1,11.704,false,11,4
10.0.13.1,10.938,false,11,4
10.0.13.1,10.233,false,11,4
10.0.13.1,12.143,false,11,4
10.0.13.1,10.117,false,11,4
10.0.13.1,12.26,false,11,4
186.0.137.1,11.127,false,11,5
186.0.137.1,8.44,false,11,5
186.0.137.1,10.646,false,11,5
186.0.137.1,10.582,false,11,5
186.0.137.1,11.207,false,11,5
186.0.137.1,10.31,false,11,5
186.0.137.1,10.024,false,11,5
186.0.137.1,11.61,false,11,5
186.0.137.1,12.13,false,11,5
186.0.137.1,10.922,false,11,5
186.0.137.1,10.958,false,11,5
186.0.137.1,12.95,false,11,5
186.0.137.1,11.025,false,11,5
186.0.137.1,10.594,false,11,5
186.0.137.1,10.607,false,11,5
186.0.137.1,12.826,false,11,5
186.0.137.1,11.319,false,11,5
186.0.137.1,9.318,false,11,5
186.0.137.1,10.727,false,11,5
186.0.137.1,11.495,false,11,5
186.0.137.1,8.315,false,11,5
186.0.137.1,7.623,false,11,5
186.0.137.1,6.736,false,11,5
186.0.137.1,8.866,false,11,5
186.0.137.1,12.156,false,11,5
186.0.137.1,11.674,false,11,5
186.0.137.1,11.056,false,11,5
186.0.137.1,10.583,false,11,5
186.0.137.1,11.874,false,11,5
186.0.137.1,10.928,false,11,5
190.181.113.73,11.143,false,11,6
190.181.113.73,10.944,false,11,6
190.181.113.73,12.743,false,11,6
190.181.113.73,37.474,false,11,6
190.181.113.73,10.218,false,11,6
190.181.113.73,11.0,false,11,6
190.181.113.73,11.083,false,11,6
190.181.113.73,12.824,false,11,6
190.181.113.73,10.785,false,11,6
190.181.113.73,12.798,false,11,6
190.181.113.73,10.769,false,11,6
190.181.113.73,11.416,false,11,6
190.181.113.73,10.694,false,11,6
190.181.113.73,10.298,false,11,6
190.181.113.73,11.703,false,11,6
190.181.113.73,8.363,false,11,6
190.181.113.73,10.095,false,11,6
190.181.113.73,12.715,false,11,6
190.181.113.73,10.682,false,11,6
190.181.113.73,9.945,false,11,6
190.181.113.73,10.396,false,11,6
190.181.113.73,12.434,false,11,6
190.181.113.73,10.794,false,11,6
190.181.113.73,12.576,false,11,6
190.181.113.73,9.731,false,11,6
190.181.113.73,8.538,false,11,6
190.181.113.73,8.257,false,11,6
190.181.113.73,10.162,false,11,6
190.181.113.73,12.095,false,11,6
190.181.113.73,12.163,false,11,6
186.0.137.10,12.635,false,11,7
186.0.137.10,10.914,false,11,7
186.0.137.10,11.817,false,11,7
186.0.137.10,9.233,false,11,7
186.0.137.10,11.955,false,11,7
186.0.137.10,10.003,false,11,7
186.0.137.10,8.895,false,11,7
186.0.137.10,14.605,false,11,7
186.0.137.10,10.917,false,11,7
186.0.137.10,10.481,false,11,7
186.0.137.10,11.149,false,11,7
186.0.137.10,8.155,false,11,7
186.0.137.10,8.87,false,11,7
186.0.137.10,11.449,false,11,7
186.0.137.10,10.842,false,11,7
186.0.137.10,11.258,false,11,7
186.0.137.10,12.264,false,11,7
186.0.137.10,9.605,false,11,7
186.0.137.10,11.024,false,11,7
186.0.137.10,11.33,false,11,7
186.0.137.10,11.721,false,11,7
186.0.137.10,10.92,false,11,7
186.0.137.10,10.424,false,11,7
186.0.137.10,10.985,false,11,7
186.0.137.10,11.163,false,11,7
186.0.137.10,8.66,false,11,7
186.0.137.10,9.896,false,11,7
186.0.137.10,12.356,false,11,7
186.0.137.10,11.043,false,11,7
186.0.137.10,11.253,false,11,7
200.0.17.203,11.324,false,11,8
200.0.17.203,11.706,false,11,8
200.0.17.203,11.329,false,11,8
200.0.17.203,12.217,false,11,8
200.0.17.203,11.262,false,11,8
200.0.17.203,10.905,false,11,8
200.0.17.203,13.671,false,11,8
200.0.17.203,10.423,false,11,8
200.0.17.203,11.293,false,11,8
200.0.17.203,11.215,false,11,8
200.0.17.203,8.601,false,11,8
200.0.17.203,12.9,false,11,8
200.0.17.203,11.739,false,11,8
200.0.17.203,8.848,false,11,8
200.0.17.203,13.13,false,11,8
200.0.17.203,12.6,false,11,8
200.0.17.203,10.9,false,11,8
200.0.17.203,11.121,false,11,8
200.0.17.203,11.157,false,11,8
200.0.17.203,11.838,false,11,8
200.0.17.203,9.185,false,11,8
200.0.17.203,10.914,false,11,8
200.0.17.203,10.905,false,11,8
200.0.17.203,10.285,false,11,8
200.0.17.203,10.32,false,11,8
200.0.17.203,7.773,false,11,8
200.0.17.203,11.516,false,11,8
200.0.17.203,11.372,false,11,8
200.0.17.203,10.413,false,11,8
200.0.17.203,11.572,false,11,8
108.170.229.186,12.076,false,11,9
108.170.229.186,10.031,false,11,9
108.170.229.186,11.782,false,11,9
108.170.229.186,11.591,false,11,9
108.170.229.186,10.82,false,11,9
108.170.229.186,10.227,false,11,9
108.170.229.186,10.076,false,11,9
108.170.229.186,10.018,false,11,9
108.170.229.186,10.009,false,11,9
108.170.229.186,9.567,false,11,9
108.170.229.186,11.641,false,11,9
108.170.229.186,11.002,false,11,9
108.170.229.186,12.333,false,11,9
108.170.229.186,10.759,false,11,9
108.170.229.186,10.42,false,11,9
108.170.229.186,10.772,false,11,9
108.170.229.186,12.628,false,11,9
108.170.229.186,11.103,false,11,9
108.170.229.186,10.647,false,11,9
108.170.229.186,10.421,false,11,9
108.170.229.186,10.715,false,11,9
108.170.229.186,11.661,false,11,9
108.170.229.186,12.065,false,11,9
108.170.229.186,8.552,false,11,9
108.170.229.186,10.502,false,11,9
108.170.229.186,9.736,false,11,9
108.170.229.186,11.183,false,11,9
108.170.229.186,11.457,false,11,9
108.170.229.186,10.893,false,11,9
108.170.229.186,11.431,false,11,9
108.170.229.47,11.869,false,11,10
108.170.229.47,10.507,false,11,10
108.170.229.47,9.055,false,11,10
108.170.229.47,10.806,false,11,10
108.170.229.47,11.829,false,11,10
108.170.229.47,8.267,false,11,10
108.170.229.47,9.116,false,11,10
108.170.229.47,10.167,false,11,10
108.170.229.47,11.547,false,11,10
108.170.229.47,12.681,false,11,10
108.170.229.47,10.641,false,11,10
108.170.229.47,10.313,false,11,10
108.170.229.47,10.49,false,11,10
108.170.229.47,10.279,false,11,10
108.170.229.47,13.046,false,11,10
108.170.229.47,10.52,false,11,10
108.170.229.47,10.294,false,11,10
108.170.229.47,11.485,false,11,10
108.170.229.47,11.737,false,11,10
108.170.229.47,10.118,false,11,10
108.170.229.47,9.399,false,11,10
108.170.229.47,10.836,false,11,10
108.170.229.47,10.973,false,11,10
108.170.229.47,9.572,false,11,10
108.170.229.47,11.269,false,11,10
108.170.229.47,10.033,false,11,10
108.170.229.47,9.961,false,11,10
108.170.229.47,13.065,false,11,10
108.170.229.47,14.209,false,11,10
108.170.229.47,11.048,false,11,10
172.217.28.163,10.988,false,0,11
172.217.28.163,13.818,false,0,11
172.217.28.163,10.65,false,0,11
172.217.28.163,10.2,false,0,11
172.217.28.163,14.007,false,0,11
172.217.28.163,8.694,false,0,11
172.217.28.163,11.849,false,0,11
172.217.28.163,9.123,false,0,11
172.217.28.163,11.009,false,0,11
172.217.28.163,10.876,false,0,11
172.217.28.163,8.927,false,0,11
172.217.28.163,10.546,false,0,11
172.217.28.163,10.24,false,0,11
172.217.28.163,10.909,false,0,11
172.217.28.163,9.587,false,0,11
172.217.28.163,10.379,false,0,11
172.217.28.163,10.553,false,0,11
172.217.28.163,11.419,false,0,11
172.217.28.163,9.769,false,0,11
172.217.28.163,13.098,false,0,11
172.217.28.163,10.103,false,0,11
172.217.28.163,10.162,false,0,11
172.217.28.163,10.443,false,0,11
172.217.28.163,11.416,false,0,11
172.217.28.163,10.653,false,0,11
172.217.28.163,10.411,false,0,11
172.217.28.163,10.412,false,0,11
172.217.28.163,9.263,false,0,11
172.217.28.163,10.372,false,0,11
172.217.28.163,10.708,false,0,11
